time_s,cumulative_fuel_engine1_t,cumulative_fuel_engine2_t,cumulative_fuel_engine3_t
4610.3,0.641,0.545,0.201
4620.33,0.643,0.546,0.202
4630.35,0.644,0.548,0.203
4640.37,0.646,0.549,0.203
4650.39,0.647,0.551,0.204
4660.42,0.649,0.553,0.204
4670.44,0.651,0.554,0.205
4680.46,0.652,0.556,0.206
4690.48,0.654,0.558,0.206
4700.51,0.656,0.559,0.207
4710.53,0.657,0.561,0.207
4720.55,0.659,0.562,0.208
4730.57,0.66,0.564,0.209
4740.6,0.662,0.566,0.209
4750.62,0.664,0.567,0.21
4760.64,0.665,0.569,0.211
4770.66,0.667,0.57,0.211
4780.68,0.668,0.572,0.212
4790.71,0.67,0.574,0.212
4800.73,0.672,0.575,0.213
4810.75,0.673,0.577,0.214
4820.77,0.675,0.579,0.214
4830.8,0.677,0.58,0.215
4840.82,0.678,0.582,0.215
4850.84,0.68,0.583,0.216
4860.86,0.681,0.585,0.217
4870.89,0.683,0.587,0.217
4880.91,0.685,0.588,0.218
4890.93,0.686,0.59,0.218
4900.95,0.688,0.592,0.219
4910.98,0.69,0.593,0.22
4921.0,0.691,0.595,0.22
4931.02,0.693,0.596,0.221
4941.04,0.694,0.598,0.222
4951.07,0.696,0.6,0.222
4961.09,0.698,0.601,0.223
4971.11,0.699,0.603,0.223
4981.13,0.701,0.604,0.224
4991.16,0.702,0.606,0.225
5001.18,0.704,0.608,0.225
5011.2,0.706,0.609,0.226
5021.22,0.707,0.611,0.226
5031.24,0.709,0.613,0.227
5041.27,0.711,0.614,0.228
5051.29,0.712,0.616,0.228
5061.31,0.714,0.617,0.229
5071.33,0.715,0.619,0.229
5081.36,0.717,0.621,0.23
5091.38,0.719,0.622,0.231
5101.4,0.72,0.624,0.231
5111.42,0.722,0.626,0.232
5121.45,0.724,0.627,0.232
5131.47,0.725,0.629,0.233
5141.49,0.727,0.63,0.234
5151.51,0.728,0.632,0.234
5161.54,0.73,0.634,0.235
5171.56,0.732,0.635,0.236
5181.58,0.733,0.637,0.236
5191.6,0.735,0.638,0.237
5201.63,0.736,0.64,0.237
5211.65,0.738,0.642,0.238
5221.67,0.74,0.643,0.239
5231.69,0.741,0.645,0.239
5241.72,0.743,0.647,0.24
5251.74,0.745,0.648,0.24
5261.76,0.746,0.65,0.241
5271.78,0.748,0.651,0.242
5281.8,0.749,0.653,0.242
5291.83,0.751,0.655,0.243
5301.85,0.753,0.656,0.243
5311.87,0.754,0.658,0.244
5321.89,0.756,0.66,0.245
5331.92,0.758,0.661,0.245
5341.94,0.759,0.663,0.246
5351.96,0.761,0.664,0.247
5361.98,0.762,0.666,0.247
5372.01,0.764,0.668,0.248
5382.03,0.766,0.669,0.248
5392.05,0.767,0.671,0.249
5402.07,0.769,0.672,0.25
5412.1,0.77,0.674,0.25
5422.12,0.772,0.676,0.251
5432.14,0.774,0.677,0.251
5442.16,0.775,0.679,0.252
5452.19,0.777,0.681,0.253
5462.21,0.779,0.682,0.253
5472.23,0.78,0.684,0.254
5482.25,0.782,0.685,0.254
5492.28,0.783,0.687,0.255
5502.3,0.785,0.689,0.256
5512.32,0.787,0.69,0.256
5522.34,0.788,0.692,0.257
5532.36,0.79,0.694,0.257
5542.39,0.792,0.695,0.258
5552.41,0.793,0.697,0.259
5562.43,0.795,0.698,0.259
5572.45,0.796,0.7,0.26
5582.48,0.798,0.702,0.261
5592.5,0.8,0.703,0.261
5602.52,0.801,0.705,0.262
5612.54,0.803,0.706,0.262
5622.57,0.804,0.708,0.263
5632.59,0.806,0.71,0.264
5642.61,0.808,0.711,0.264
5652.63,0.809,0.713,0.265
5662.66,0.811,0.715,0.265
5672.68,0.813,0.716,0.266
5682.7,0.814,0.718,0.267
5692.72,0.816,0.719,0.267
5702.75,0.817,0.721,0.268
5712.77,0.819,0.723,0.268
5722.79,0.821,0.724,0.269
5732.81,0.822,0.726,0.27
5742.84,0.824,0.727,0.27
5752.86,0.826,0.729,0.271
5762.88,0.827,0.731,0.272
5772.9,0.829,0.732,0.272
5782.92,0.83,0.734,0.273
5792.95,0.832,0.736,0.273
5802.97,0.834,0.737,0.274
5812.99,0.835,0.739,0.275
5823.01,0.837,0.74,0.275
5833.04,0.838,0.742,0.276
5843.06,0.84,0.744,0.276
5853.08,0.842,0.745,0.277
5863.1,0.843,0.747,0.278
5873.13,0.845,0.749,0.278
5883.15,0.847,0.75,0.279
5893.17,0.848,0.752,0.279
5903.19,0.85,0.753,0.28
5913.22,0.851,0.755,0.281
5923.24,0.853,0.757,0.281
5933.26,0.855,0.758,0.282
5943.28,0.856,0.76,0.282
5953.31,0.858,0.761,0.283
5963.33,0.859,0.763,0.284
5973.35,0.861,0.765,0.284
5983.37,0.863,0.766,0.285
5993.4,0.864,0.768,0.286
6003.42,0.866,0.77,0.286
6013.44,0.868,0.771,0.287
6023.46,0.869,0.773,0.287
6033.48,0.871,0.774,0.288
6043.51,0.872,0.776,0.289
6053.53,0.874,0.778,0.289
6063.55,0.876,0.779,0.29
6073.57,0.877,0.781,0.29
6083.6,0.879,0.783,0.291
6093.62,0.881,0.784,0.292
6103.64,0.882,0.786,0.292
6113.66,0.884,0.787,0.293
6123.69,0.885,0.789,0.293
6133.71,0.887,0.791,0.294
6143.73,0.889,0.792,0.295
6153.75,0.89,0.794,0.295
6163.78,0.892,0.795,0.296
6173.8,0.893,0.797,0.297
6183.82,0.895,0.799,0.297
6193.84,0.897,0.8,0.298
6203.87,0.898,0.802,0.298
6213.89,0.9,0.804,0.299
6223.91,0.902,0.805,0.3
6233.93,0.903,0.807,0.3
6243.96,0.905,0.808,0.301
6253.98,0.906,0.81,0.301
6264.0,0.908,0.812,0.302
6274.02,0.91,0.813,0.303
6284.04,0.911,0.815,0.303
6294.07,0.913,0.817,0.304
6304.09,0.915,0.818,0.304
6314.11,0.916,0.82,0.305
