time_s,cumulative_co2_engine1_t,cumulative_co2_engine2_t,cumulative_co2_engine3_t
3808.51,1.61,1.3,0.477
3818.53,1.61,1.3,0.479
3828.56,1.62,1.31,0.481
3838.58,1.62,1.31,0.483
3848.6,1.63,1.32,0.485
3858.62,1.63,1.32,0.487
3868.65,1.64,1.33,0.489
3878.67,1.65,1.33,0.491
3888.69,1.65,1.34,0.493
3898.71,1.66,1.34,0.495
3908.74,1.66,1.35,0.497
3918.76,1.67,1.35,0.498
3928.78,1.67,1.36,0.5
3938.8,1.68,1.36,0.502
3948.83,1.68,1.37,0.504
3958.85,1.69,1.37,0.506
3968.87,1.69,1.38,0.508
3978.89,1.7,1.39,0.51
3988.92,1.7,1.39,0.512
3998.94,1.71,1.4,0.514
4008.96,1.71,1.4,0.516
4018.98,1.72,1.41,0.518
4029.0,1.72,1.41,0.52
4039.03,1.73,1.42,0.522
4049.05,1.73,1.42,0.523
4059.07,1.74,1.43,0.525
4069.09,1.74,1.43,0.527
4079.12,1.75,1.44,0.529
4089.14,1.75,1.44,0.531
4099.16,1.76,1.45,0.533
4109.18,1.76,1.45,0.535
4119.21,1.77,1.46,0.537
4129.23,1.77,1.46,0.539
4139.25,1.78,1.47,0.541
4149.27,1.78,1.47,0.543
4159.3,1.79,1.48,0.545
4169.32,1.79,1.48,0.547
4179.34,1.8,1.49,0.548
4189.36,1.8,1.49,0.55
4199.39,1.81,1.5,0.552
4209.41,1.81,1.5,0.554
4219.43,1.82,1.51,0.556
4229.45,1.82,1.51,0.558
4239.48,1.83,1.52,0.56
4249.5,1.83,1.52,0.562
4259.52,1.84,1.53,0.564
4269.54,1.84,1.53,0.566
4279.56,1.85,1.54,0.568
4289.59,1.85,1.54,0.57
4299.61,1.86,1.55,0.571
4309.63,1.86,1.55,0.573
4319.65,1.87,1.56,0.575
4329.68,1.87,1.56,0.577
4339.7,1.88,1.57,0.579
4349.72,1.88,1.57,0.581
4359.74,1.89,1.58,0.583
4369.77,1.89,1.58,0.585
4379.79,1.9,1.59,0.587
4389.81,1.91,1.59,0.589
4399.83,1.91,1.6,0.591
4409.86,1.92,1.6,0.593
4419.88,1.92,1.61,0.595
4429.9,1.93,1.61,0.596
4439.92,1.93,1.62,0.598
4449.95,1.94,1.62,0.6
4459.97,1.94,1.63,0.602
4469.99,1.95,1.63,0.604
4480.01,1.95,1.64,0.606
4490.04,1.96,1.65,0.608
4500.06,1.96,1.65,0.61
4510.08,1.97,1.66,0.612
4520.1,1.97,1.66,0.614
4530.12,1.98,1.67,0.616
4540.15,1.98,1.67,0.618
4550.17,1.99,1.68,0.619
4560.19,1.99,1.68,0.621
4570.21,2.0,1.69,0.623
4580.24,2.0,1.69,0.625
4590.26,2.01,1.7,0.627
4600.28,2.01,1.7,0.629
4610.3,2.02,1.71,0.631
4620.33,2.02,1.71,0.633
4630.35,2.03,1.72,0.635
4640.37,2.03,1.72,0.637
4650.39,2.04,1.73,0.639
4660.42,2.04,1.73,0.641
4670.44,2.05,1.74,0.643
4680.46,2.05,1.74,0.644
4690.48,2.06,1.75,0.646
4700.51,2.06,1.75,0.648
4710.53,2.07,1.76,0.65
4720.55,2.07,1.76,0.652
4730.57,2.08,1.77,0.654
4740.6,2.08,1.77,0.656
4750.62,2.09,1.78,0.658
4760.64,2.09,1.78,0.66
4770.66,2.1,1.79,0.662
4780.68,2.1,1.79,0.664
4790.71,2.11,1.8,0.666
4800.73,2.11,1.8,0.668
4810.75,2.12,1.81,0.669
4820.77,2.12,1.81,0.671
4830.8,2.13,1.82,0.673
4840.82,2.13,1.82,0.675
4850.84,2.14,1.83,0.677
4860.86,2.14,1.83,0.679
4870.89,2.15,1.84,0.681
4880.91,2.16,1.84,0.683
4890.93,2.16,1.85,0.685
4900.95,2.17,1.85,0.687
4910.98,2.17,1.86,0.689
4921.0,2.18,1.86,0.691
4931.02,2.18,1.87,0.692
4941.04,2.19,1.87,0.694
4951.07,2.19,1.88,0.696
4961.09,2.2,1.88,0.698
4971.11,2.2,1.89,0.7
4981.13,2.21,1.89,0.702
4991.16,2.21,1.9,0.704
5001.18,2.22,1.91,0.706
5011.2,2.22,1.91,0.708
5021.22,2.23,1.92,0.71
5031.24,2.23,1.92,0.712
5041.27,2.24,1.93,0.714
5051.29,2.24,1.93,0.716
5061.31,2.25,1.94,0.717
5071.33,2.25,1.94,0.719
5081.36,2.26,1.95,0.721
5091.38,2.26,1.95,0.723
5101.4,2.27,1.96,0.725
5111.42,2.27,1.96,0.727
5121.45,2.28,1.97,0.729
5131.47,2.28,1.97,0.731
5141.49,2.29,1.98,0.733
5151.51,2.29,1.98,0.735
5161.54,2.3,1.99,0.737
5171.56,2.3,1.99,0.739
5181.58,2.31,2.0,0.74
5191.6,2.31,2.0,0.742
5201.63,2.32,2.01,0.744
5211.65,2.32,2.01,0.746
5221.67,2.33,2.02,0.748
5231.69,2.33,2.02,0.75
5241.72,2.34,2.03,0.752
5251.74,2.34,2.03,0.754
5261.76,2.35,2.04,0.756
5271.78,2.35,2.04,0.758
5281.8,2.36,2.05,0.76
5291.83,2.36,2.05,0.762
5301.85,2.37,2.06,0.764
5311.87,2.37,2.06,0.765
5321.89,2.38,2.07,0.767
5331.92,2.38,2.07,0.769
5341.94,2.39,2.08,0.771
5351.96,2.39,2.08,0.773
5361.98,2.4,2.09,0.775
5372.01,2.4,2.09,0.777
5382.03,2.41,2.1,0.779
5392.05,2.42,2.1,0.781
5402.07,2.42,2.11,0.783
5412.1,2.43,2.11,0.785
5422.12,2.43,2.12,0.787
5432.14,2.44,2.12,0.789
5442.16,2.44,2.13,0.79
5452.19,2.45,2.13,0.792
5462.21,2.45,2.14,0.794
5472.23,2.46,2.14,0.796
5482.25,2.46,2.15,0.798
5492.28,2.47,2.15,0.8
5502.3,2.47,2.16,0.802
5512.32,2.48,2.17,0.804
5522.34,2.48,2.17,0.806
5532.36,2.49,2.18,0.808
5542.39,2.49,2.18,0.81
5552.41,2.5,2.19,0.812
5562.43,2.5,2.19,0.813
5572.45,2.51,2.2,0.815
5582.48,2.51,2.2,0.817
5592.5,2.52,2.21,0.819
5602.52,2.52,2.21,0.821
5612.54,2.53,2.22,0.823
5622.57,2.53,2.22,0.825
5632.59,2.54,2.23,0.827
5642.61,2.54,2.23,0.829
5652.63,2.55,2.24,0.831
5662.66,2.55,2.24,0.833
5672.68,2.56,2.25,0.835
5682.7,2.56,2.25,0.837
5692.72,2.57,2.26,0.838
5702.75,2.57,2.26,0.84
5712.77,2.58,2.27,0.842
5722.79,2.58,2.27,0.844
5732.81,2.59,2.28,0.846
5742.84,2.59,2.28,0.848
5752.86,2.6,2.29,0.85
5762.88,2.6,2.29,0.852
5772.9,2.61,2.3,0.854
5782.92,2.61,2.3,0.856
5792.95,2.62,2.31,0.858
5802.97,2.62,2.31,0.86
5812.99,2.63,2.32,0.862
5823.01,2.63,2.32,0.863
5833.04,2.64,2.33,0.865
5843.06,2.64,2.33,0.867
5853.08,2.65,2.34,0.869
5863.1,2.65,2.34,0.871
5873.13,2.66,2.35,0.873
5883.15,2.66,2.35,0.875
5893.17,2.67,2.36,0.877
5903.19,2.68,2.36,0.879
5913.22,2.68,2.37,0.881
5923.24,2.69,2.37,0.883
5933.26,2.69,2.38,0.885
5943.28,2.7,2.38,0.886
5953.31,2.7,2.39,0.888
5963.33,2.71,2.39,0.89
5973.35,2.71,2.4,0.892
5983.37,2.72,2.4,0.894
5993.4,2.72,2.41,0.896
6003.42,2.73,2.42,0.898
6013.44,2.73,2.42,0.9
6023.46,2.74,2.43,0.902
6033.48,2.74,2.43,0.904
6043.51,2.75,2.44,0.906
6053.53,2.75,2.44,0.908
6063.55,2.76,2.45,0.91
6073.57,2.76,2.45,0.911
6083.6,2.77,2.46,0.913
6093.62,2.77,2.46,0.915
6103.64,2.78,2.47,0.917
6113.66,2.78,2.47,0.919
6123.69,2.79,2.48,0.921
6133.71,2.79,2.48,0.923
6143.73,2.8,2.49,0.925
6153.75,2.8,2.49,0.927
6163.78,2.81,2.5,0.929
6173.8,2.81,2.5,0.931
6183.82,2.82,2.51,0.933
6193.84,2.82,2.51,0.934
6203.87,2.83,2.52,0.936
6213.89,2.83,2.52,0.938
6223.91,2.84,2.53,0.94
6233.93,2.84,2.53,0.942
6243.96,2.85,2.54,0.944
6253.98,2.85,2.54,0.946
6264.0,2.86,2.55,0.948
6274.02,2.86,2.55,0.95
6284.04,2.87,2.56,0.952
6294.07,2.87,2.56,0.954
6304.09,2.88,2.57,0.956
6314.11,2.88,2.57,0.958
6324.13,2.89,2.58,0.959
6334.16,2.89,2.58,0.961
6344.18,2.9,2.59,0.963
6354.2,2.9,2.59,0.965
6364.22,2.91,2.6,0.967
6374.25,2.91,2.6,0.969
6384.27,2.92,2.61,0.971
6394.29,2.92,2.61,0.973
6404.31,2.93,2.62,0.975
6414.34,2.94,2.62,0.977
6424.36,2.94,2.63,0.979
6434.38,2.95,2.63,0.981
6444.4,2.95,2.64,0.983
6454.43,2.96,2.64,0.984
6464.45,2.96,2.65,0.986
6474.47,2.97,2.65,0.988
6484.49,2.97,2.66,0.99
6494.52,2.98,2.66,0.992
6504.54,2.98,2.67,0.994
6514.56,2.99,2.68,0.996
6524.58,2.99,2.68,0.998
6534.6,3.0,2.69,1.0
6544.63,3.0,2.69,1.0
6554.65,3.01,2.7,1.0
6564.67,3.01,2.7,1.01
6574.69,3.02,2.71,1.01
6584.72,3.02,2.71,1.01
6594.74,3.03,2.72,1.01
6604.76,3.03,2.72,1.01
6614.78,3.04,2.73,1.02
6624.81,3.04,2.73,1.02
6634.83,3.05,2.74,1.02
6644.85,3.05,2.74,1.02
6654.87,3.06,2.75,1.02
6664.9,3.06,2.75,1.02
6674.92,3.07,2.76,1.03
6684.94,3.07,2.76,1.03
6694.96,3.08,2.77,1.03
6704.99,3.08,2.77,1.03
6715.01,3.09,2.78,1.03
6725.03,3.09,2.78,1.04
6735.05,3.1,2.79,1.04
6745.08,3.1,2.79,1.04
6755.1,3.11,2.8,1.04
6765.12,3.11,2.8,1.04
6775.14,3.12,2.81,1.05
6785.16,3.12,2.81,1.05
6795.19,3.13,2.82,1.05
6805.21,3.13,2.82,1.05
6815.23,3.14,2.83,1.05
6825.25,3.14,2.83,1.06
6835.28,3.15,2.84,1.06
6845.3,3.15,2.84,1.06
6855.32,3.16,2.85,1.06
6865.34,3.16,2.85,1.06
6875.37,3.17,2.86,1.07
6885.39,3.17,2.86,1.07
6895.41,3.18,2.87,1.07
6905.43,3.18,2.87,1.07
6915.46,3.19,2.88,1.07
6925.48,3.2,2.88,1.07
6935.5,3.2,2.89,1.08
6945.52,3.21,2.89,1.08
6955.55,3.21,2.9,1.08
6965.57,3.22,2.9,1.08
6975.59,3.22,2.91,1.08
6985.61,3.23,2.91,1.09
6995.64,3.23,2.92,1.09
7005.66,3.24,2.92,1.09
7015.68,3.24,2.93,1.09
7025.7,3.25,2.94,1.09
7035.72,3.25,2.94,1.1
7045.75,3.26,2.95,1.1
7055.77,3.26,2.95,1.1
7065.79,3.27,2.96,1.1
7075.81,3.27,2.96,1.1
7085.84,3.28,2.97,1.11
7095.86,3.28,2.97,1.11
7105.88,3.29,2.98,1.11
7115.9,3.29,2.98,1.11
7125.93,3.3,2.99,1.11
7135.95,3.3,2.99,1.12
7145.97,3.31,3.0,1.12
7155.99,3.31,3.0,1.12
7166.02,3.32,3.01,1.12
7176.04,3.32,3.01,1.12
7186.06,3.33,3.02,1.12
7196.08,3.33,3.02,1.13
7206.11,3.34,3.03,1.13
7216.13,3.34,3.03,1.13
7226.15,3.35,3.04,1.13
7236.17,3.35,3.04,1.13
7246.2,3.36,3.05,1.14
7256.22,3.36,3.05,1.14
7266.24,3.37,3.06,1.14
7276.26,3.37,3.06,1.14
7286.28,3.38,3.07,1.14
7296.31,3.38,3.07,1.15
7306.33,3.39,3.08,1.15
7316.35,3.39,3.08,1.15
7326.37,3.4,3.09,1.15
7336.4,3.4,3.09,1.15
7346.42,3.41,3.1,1.16
7356.44,3.41,3.1,1.16
7366.46,3.42,3.11,1.16
7376.49,3.42,3.11,1.16
7386.51,3.43,3.12,1.16
7396.53,3.43,3.12,1.16
7406.55,3.44,3.13,1.17
7416.58,3.45,3.13,1.17
7426.6,3.45,3.14,1.17
7436.62,3.46,3.14,1.17
7446.64,3.46,3.15,1.17
7456.67,3.47,3.15,1.18
7466.69,3.47,3.16,1.18
7476.71,3.48,3.16,1.18
7486.73,3.48,3.17,1.18
7496.76,3.49,3.17,1.18
7506.78,3.49,3.18,1.19
7516.8,3.5,3.18,1.19
7526.82,3.5,3.19,1.19
7536.84,3.51,3.2,1.19
7546.87,3.51,3.2,1.19
